<<<<<<< HEAD
DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190514702,8/28/2019 0:00,1/1/2010 0:00,1200,5,Harbor,524,2,860,BATTERY WITH SEXUAL CONTACT,1804 0522 0913,31,F,H,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,600    WILMINGTON                   BL,,33.7749,-118.2764
191916104,9/4/2019 0:00,9/4/2010 0:00,1900,19,Mission,1944,1,820,ORAL COPULATION,1817 0507 0559 1258 0532 0536 0506,8,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,14300    FOX                          ST,,34.2726,-118.4447
191311884,5/22/2019 0:00,1/1/2010 0:00,1900,13,Newton,1367,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0522 0551,6,F,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,4700    HONDURAS                     ST,,34.001,-118.2441
191821515,10/7/2019 0:00,7/9/2010 0:00,1210,18,Southeast,1801,2,354,THEFT OF IDENTITY,0100 1822,29,F,I,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,8800 S  HOOVER                       ST,,33.958,-118.2869
191117898,10/11/2019 0:00,1/1/2010 0:00,700,11,Northeast,1132,2,354,THEFT OF IDENTITY,1822 0100,51,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3100    RIVERSIDE                    DR,,34.1128,-118.2679
190711436,5/30/2019 0:00,5/1/2010 0:00,1,7,Wilshire,773,2,354,THEFT OF IDENTITY,1501,47,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1900 S  MARVIN                       AV,,34.04,-118.3624
190516506,10/7/2019 0:00,8/5/2010 0:00,1,5,Harbor,517,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0512 0503 0505 0360 0913,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1000    EUBANK                       AV,,33.7831,-118.2552
190112266,4/28/2019 0:00,4/1/2010 0:00,700,1,Central,159,2,763,STALKING,1268 2010 1218 1202 0347,52,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,763,,,,1200 E  6TH                          ST,,34.0382,-118.2384
190206170,2/7/2019 0:00,1/9/2010 0:00,1200,2,Rampart,295,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0400 1259 1251 0503 0515 0360 0522 0551,6,F,H,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,1300 S  UNION                        AV,,34.0423,-118.2804
190207819,3/10/2019 0:00,3/9/2010 0:00,2100,2,Rampart,261,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,PARK VIEW,8TH                          ST,34.0563,-118.2809
192018045,10/7/2019 0:00,9/7/2010 0:00,1000,20,Olympic,2053,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0352 0377 1202 1221,52,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,900 S  OXFORD                       AV,,34.0532,-118.3074
190300583,3/2/2019 0:00,2/28/2010 0:00,1210,3,Southwest,392,1,310,BURGLARY,0344 1603 0321 0329 0352 1273 1402,50,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,4800    10TH                         AV,,34,-118.3282
190307175,2/19/2019 0:00,2/19/2010 0:00,1200,3,Southwest,336,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1259 1251 0515 0360 2021,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,2100 W  30TH                         ST,,34.0274,-118.312
190308282,2/28/2019 0:00,1/1/2010 0:00,500,3,Southwest,399,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 0522 0503 1259 0913,8,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,860,,,4000 S  FIGUEROA                     ST,,34.0112,-118.2827
190309127,3/18/2019 0:00,10/25/2010 0:00,1200,3,Southwest,317,2,946,OTHER MISCELLANEOUS CRIME,1501,46,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,946,,,,1400 W  24TH                         ST,,34.0346,-118.2915
190309608,3/14/2019 0:00,1/1/2010 0:00,500,3,Southwest,399,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1259 0522 1817,5,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,860,,,4000 S  FIGUEROA                     ST,,34.0112,-118.2827
190404890,1/22/2019 0:00,1/1/2010 0:00,1,4,Hollenbeck,477,2,354,THEFT OF IDENTITY,100,11,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 S  MOTT                         ST,,34.0332,-118.213
190405327,1/31/2019 0:00,1/1/2010 0:00,1800,4,Hollenbeck,408,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1258 0360 0522 0551 0515,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,3600    LOCKE                        AV,,34.0871,-118.1799
190405674,2/10/2019 0:00,2/10/2010 0:00,330,4,Hollenbeck,499,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3500 E  15TH                         ST,,34.0159,-118.2028
190504772,1/18/2019 0:00,1/1/2010 0:00,1,5,Harbor,564,2,354,THEFT OF IDENTITY,1822 1202,53,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 S  PALOS VERDES                 ST,,33.7424,-118.2813
190506812,3/5/2019 0:00,1/1/2010 0:00,1,5,Harbor,506,2,354,THEFT OF IDENTITY,1822 0928,18,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1600 W  220TH                        ST,,33.828,-118.3064
190506876,3/7/2019 0:00,3/1/2010 0:00,1,5,Harbor,531,2,354,THEFT OF IDENTITY,1822,22,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1500 W  PACIFIC COAST                HY,,33.7895,-118.3027
190507307,3/15/2019 0:00,11/1/2010 0:00,1200,5,Harbor,524,2,354,THEFT OF IDENTITY,1822,34,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100 W  D                            ST,,33.7734,-118.2763
190507588,3/22/2019 0:00,6/1/2010 0:00,1300,5,Harbor,589,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 0503 1817 0522 0551 1258 0913,5,F,H,117,BEACH,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,3700    STEPHEN M WHITE              DR,,33.7105,-118.286
190508046,4/3/2019 0:00,1/1/2010 0:00,100,5,Harbor,555,2,860,BATTERY WITH SEXUAL CONTACT,,-9,X,X,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,500 N  CABRILLO                     AV,,33.7476,-118.2948
192009389,4/18/2019 0:00,1/1/2010 0:00,900,20,Olympic,2093,2,354,THEFT OF IDENTITY,100,70,F,K,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2000 S  HOBART                       BL,,34.0392,-118.3062
190509529,5/6/2019 0:00,1/1/2010 0:00,1,5,Harbor,564,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 1309 0503 0522 2024 0510 0360 0422 0409,6,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,200 S  BEACON                       ST,,33.7424,-118.2804
190510331,5/24/2019 0:00,1/1/2010 0:00,1,5,Harbor,528,2,354,THEFT OF IDENTITY,1822,19,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100 E  ROBIDOUX                     ST,,33.7883,-118.2498
190608489,3/21/2019 0:00,1/1/2010 0:00,800,6,Hollywood,677,2,662,"BUNCO, GRAND THEFT",0701 1803,-9,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,662,,,,5500    MELROSE                      AV,,34.0865,-118.3169
190609425,4/6/2019 0:00,4/5/2010 0:00,1140,6,Hollywood,647,1,330,BURGLARY FROM VEHICLE,1300 1307 1609 0329 0344,25,M,O,101,STREET,,,IC,Invest Cont,330,,,,1600    VINE                         ST,,34.0998,-118.3267
190610466,4/22/2019 0:00,11/13/2010 0:00,800,6,Hollywood,644,2,354,THEFT OF IDENTITY,1822 0928,40,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,649,,,1300 N  DETROIT                      ST,,34.0944,-118.3452
190610499,4/23/2019 0:00,12/20/2010 0:00,800,6,Hollywood,622,2,354,THEFT OF IDENTITY,0930 1822,36,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1900    MOUNT OLYMPUS                DR,,34.1065,-118.3657
190705631,2/4/2019 0:00,7/1/2010 0:00,1100,7,Wilshire,773,2,354,THEFT OF IDENTITY,0928 1822,60,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1900 S  RIDGELEY                     DR,,34.0409,-118.3586
190800592,4/27/2019 0:00,4/27/2010 0:00,1517,8,West LA,839,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0104 0325 1402,-8,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,10200    SANTA MONICA                 BL,,34.0605,-118.4193
190805046,1/24/2019 0:00,1/11/2010 0:00,1500,8,West LA,898,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,-8,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,440,,,,2900 S  ROBERTSON                    BL,,34.0349,-118.3893
190805431,2/1/2019 0:00,1/29/2010 0:00,1200,8,West LA,839,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 0421 0603 0917,19,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,956,,,,1900    AVENUE OF THE STARS,,34.0599,-118.4171
